Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Niue,,,,,,,,,,,,,,,,,,,
North Macedonia,2.3,2.7,2.9,3.4,2.4,2.1,2.2,2.0,1.7,1.7,2.1,1.4,1.4,1.1,1.7,1.2,0.9,1.5,1.2
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,
Norway,1.1,0.8,1.0,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,0.5,0.9,0.6,0.5,0.5,0.5,0.5
Oman,,,1.2,1.5,1.7,2.1,4.7,1.4,1.7,1.3,1.6,1.0,1.1,2.6,0.3,0.4,0.4,0.5,0.3
Pakistan,6.3,6.6,6.3,6.1,6.1,6.1,6.1,6.3,7.0,7.1,7.4,7.6,7.4,7.3,6.8,4.8,4.2,4.0,3.9
Palau,,,,,,,,,,,,,,,,17.0,0.0,0.0,11.2
Panama,9.9,9.9,11.9,10.5,9.4,10.9,6.5,8.1,14.0,15.7,12.6,14.8,16.9,17.3,15.5,11.9,10.0,9.7,9.4
Papua New Guinea,8.0,7.3,7.7,9.8,,9.3,9.2,7.6,8.6,9.8,9.8,,,,,,,,
Paraguay,18.7,24.2,24.8,22.8,21.1,15.2,12.5,13.1,13.7,13.3,11.9,10.4,10.1,9.3,8.8,9.2,9.9,7.9,7.1
Peru,,,,,,,,,,,,5.5,6.7,6.8,6.9,7.4,7.9,7.9,
Philippines*,7.4,7.3,8.1,7.7,7.5,7.5,7.1,6.7,6.4,9.8,9.2,8.9,8.7,9.3,9.7,9.4,11.0,8.4,6.5
Poland#,2.2,2.0,1.9,1.7,1.6,1.4,1.3,1.4,0.8,1.0,1.0,1.1,1.1,0.8,0.8,0.8,0.7,0.8,0.7
Portugal,1.1,1.0,1.1,1.4,1.4,1.3,1.5,1.7,1.2,1.2,1.2,1.1,1.2,1.4,0.9,1.0,0.6,0.7,0.8
Puerto Rico,20.0,21.9,22.4,22.4,23.1,22.7,21.6,21.4,24.2,26.6,28.8,33.1,28.7,26.4,20.4,18.2,21.4,23.0,21.1
Qatar,0.2,0.8,,,0.7,0.7,0.5,0.7,0.8,0.5,0.2,0.2,0.3,0.4,0.4,,,,
Republic of Korea,0.8,0.9,0.8,0.8,0.9,0.8,0.9,0.9,0.9,1.1,1.0,0.8,0.9,0.7,0.7,0.7,0.7,0.6,0.6
Republic of Moldova,10.3,9.8,9.6,7.6,6.6,7.1,6.3,5.3,5.7,6.0,6.5,7.5,5.6,4.1,3.2,4.6,4.9,3.5,3.9
Reunion,,,,,2.9,3.2,2.4,3.0,2.2,1.8,,,,,,,,,
Romania#,2.5,3.2,3.0,3.2,2.3,2.0,1.7,1.8,1.4,1.3,1.3,1.0,1.0,1.1,1.6,1.7,1.5,1.3,1.3
Russian Federation##,28.1,29.4,30.5,28.9,27.2,24.8,20.1,17.7,12.7,12.3,11.6,11.3,11.3,11.1,11.4,11.5,10.9,9.1,8.2
Rwanda,,,,,,,3.5,2.9,1.5,,2.9,,2.4,3.3,3.9,2.6,,,
